"id","value","flag","label"
114,1.14,true,"row-114"
115,1.15,false,"row-115"
116,1.16,true,"row-116"
117,1.17,false,"row-117"
118,1.18,true,"row-118"
119,1.19,false,"row-119"
120,1.2,true,"row-120"
121,1.21,false,"row-121"
122,1.22,true,"row-122"
123,1.23,false,"row-123"
124,1.24,true,"row-124"
125,1.25,false,"row-125"
126,1.26,true,"row-126"
127,1.27,false,"row-127"
128,1.28,true,"row-128"
129,1.29,false,"row-129"
130,1.3,true,"row-130"
131,1.31,false,"row-131"
132,1.32,true,"row-132"
133,1.33,false,"row-133"
134,1.34,true,"row-134"
135,1.35,false,"row-135"
136,1.36,true,"row-136"
137,1.37,false,"row-137"
138,1.38,true,"row-138"
139,1.39,false,"row-139"
140,1.4,true,"row-140"
141,1.41,false,"row-141"
142,1.42,true,"row-142"
143,1.43,false,"row-143"
144,1.44,true,"row-144"
145,1.45,false,"row-145"
146,1.46,true,"row-146"
147,1.47,false,"row-147"
148,1.48,true,"row-148"
149,1.49,false,"row-149"
150,1.5,true,"row-150"
151,1.51,false,"row-151"
152,1.52,true,"row-152"
153,1.53,false,"row-153"
154,1.54,true,"row-154"
155,1.55,false,"row-155"
156,1.56,true,"row-156"
157,1.57,false,"row-157"
158,1.58,true,"row-158"
159,1.59,false,"row-159"
160,1.6,true,"row-160"
161,1.61,false,"row-161"
162,1.62,true,"row-162"
163,1.63,false,"row-163"
164,1.64,true,"row-164"
165,1.65,false,"row-165"
166,1.66,true,"row-166"
167,1.67,false,"row-167"
168,1.68,true,"row-168"
169,1.69,false,"row-169"
170,1.7,true,"row-170"
171,1.71,false,"row-171"
172,1.72,true,"row-172"
173,1.73,false,"row-173"
174,1.74,true,"row-174"
175,1.75,false,"row-175"
176,1.76,true,"row-176"
177,1.77,false,"row-177"
178,1.78,true,"row-178"
179,1.79,false,"row-179"
180,1.8,true,"row-180"
181,1.81,false,"row-181"
182,1.82,true,"row-182"
183,1.83,false,"row-183"
184,1.84,true,"row-184"
185,1.85,false,"row-185"
186,1.86,true,"row-186"
187,1.87,false,"row-187"
188,1.88,true,"row-188"
189,1.89,false,"row-189"
190,1.9,true,"row-190"
191,1.91,false,"row-191"
192,1.92,true,"row-192"
193,1.93,false,"row-193"
194,1.94,true,"row-194"
195,1.95,false,"row-195"
196,1.96,true,"row-196"
197,1.97,false,"row-197"
198,1.98,true,"row-198"
199,1.99,false,"row-199"
200,2,true,"row-200"
201,2.01,false,"row-201"
202,2.02,true,"row-202"
203,2.03,false,"row-203"
204,2.04,true,"row-204"
205,2.05,false,"row-205"
206,2.06,true,"row-206"
207,2.07,false,"row-207"
208,2.08,true,"row-208"
209,2.09,false,"row-209"
210,2.1,true,"row-210"
211,2.11,false,"row-211"
212,2.12,true,"row-212"
213,2.13,false,"row-213"
214,2.14,true,"row-214"
215,2.15,false,"row-215"
216,2.16,true,"row-216"
217,2.17,false,"row-217"
218,2.18,true,"row-218"
219,2.19,false,"row-219"
220,2.2,true,"row-220"
221,2.21,false,"row-221"
222,2.22,true,"row-222"
223,2.23,false,"row-223"
224,2.24,true,"row-224"
225,2.25,false,"row-225"
226,2.26,true,"row-226"
227,2.27,false,"row-227"
228,2.28,true,"row-228"
229,2.29,false,"row-229"
230,2.3,true,"row-230"
231,2.31,false,"row-231"
232,2.32,true,"row-232"
233,2.33,false,"row-233"
234,2.34,true,"row-234"
235,2.35,false,"row-235"
236,2.36,true,"row-236"
237,2.37,false,"row-237"
238,2.38,true,"row-238"
239,2.39,false,"row-239"
240,2.4,true,"row-240"
241,2.41,false,"row-241"
242,2.42,true,"row-242"
243,2.43,false,"row-243"
244,2.44,true,"row-244"
245,2.45,false,"row-245"
246,2.46,true,"row-246"
247,2.47,false,"row-247"
248,2.48,true,"row-248"
249,2.49,false,"row-249"
250,2.5,true,"row-250"
251,2.51,false,"row-251"
252,2.52,true,"row-252"
253,2.53,false,"row-253"
254,2.54,true,"row-254"
255,2.55,false,"row-255"
256,2.56,true,"row-256"
257,2.57,false,"row-257"
258,2.58,true,"row-258"
259,2.59,false,"row-259"
260,2.6,true,"row-260"
261,2.61,false,"row-261"
262,2.62,true,"row-262"
263,2.63,false,"row-263"
264,2.64,true,"row-264"
265,2.65,false,"row-265"
266,2.66,true,"row-266"
267,2.67,false,"row-267"
268,2.68,true,"row-268"
269,2.69,false,"row-269"
270,2.7,true,"row-270"
271,2.71,false,"row-271"
272,2.72,true,"row-272"
273,2.73,false,"row-273"
274,2.74,true,"row-274"
275,2.75,false,"row-275"
276,2.76,true,"row-276"
277,2.77,false,"row-277"
278,2.78,true,"row-278"
279,2.79,false,"row-279"
280,2.8,true,"row-280"
281,2.81,false,"row-281"
282,2.82,true,"row-282"
283,2.83,false,"row-283"
284,2.84,true,"row-284"
285,2.85,false,"row-285"
286,2.86,true,"row-286"
287,2.87,false,"row-287"
288,2.88,true,"row-288"
289,2.89,false,"row-289"
290,2.9,true,"row-290"
291,2.91,false,"row-291"
292,2.92,true,"row-292"
293,2.93,false,"row-293"
294,2.94,true,"row-294"
295,2.95,false,"row-295"
296,2.96,true,"row-296"
297,2.97,false,"row-297"
298,2.98,true,"row-298"
299,2.99,false,"row-299"
300,3,true,"row-300"
301,3.01,false,"row-301"
302,3.02,true,"row-302"
303,3.03,false,"row-303"
304,3.04,true,"row-304"
305,3.05,false,"row-305"
306,3.06,true,"row-306"
307,3.07,false,"row-307"
308,3.08,true,"row-308"
309,3.09,false,"row-309"
310,3.1,true,"row-310"
311,3.11,false,"row-311"
312,3.12,true,"row-312"
313,3.13,false,"row-313"
314,3.14,true,"row-314"
315,3.15,false,"row-315"
316,3.16,true,"row-316"
317,3.17,false,"row-317"
318,3.18,true,"row-318"
319,3.19,false,"row-319"
320,3.2,true,"row-320"
321,3.21,false,"row-321"
322,3.22,true,"row-322"
323,3.23,false,"row-323"
324,3.24,true,"row-324"
325,3.25,false,"row-325"
326,3.26,true,"row-326"
327,3.27,false,"row-327"
328,3.28,true,"row-328"
329,3.29,false,"row-329"
330,3.3,true,"row-330"
331,3.31,false,"row-331"
332,3.32,true,"row-332"
333,3.33,false,"row-333"
334,3.34,true,"row-334"
335,3.35,false,"row-335"
336,3.36,true,"row-336"
337,3.37,false,"row-337"
338,3.38,true,"row-338"
339,3.39,false,"row-339"
340,3.4,true,"row-340"
341,3.41,false,"row-341"
342,3.42,true,"row-342"
343,3.43,false,"row-343"
344,3.44,true,"row-344"
345,3.45,false,"row-345"
346,3.46,true,"row-346"
347,3.47,false,"row-347"
348,3.48,true,"row-348"
349,3.49,false,"row-349"
350,3.5,true,"row-350"
351,3.51,false,"row-351"
352,3.52,true,"row-352"
353,3.53,false,"row-353"
354,3.54,true,"row-354"
355,3.55,false,"row-355"
356,3.56,true,"row-356"
357,3.57,false,"row-357"
358,3.58,true,"row-358"
359,3.59,false,"row-359"
360,3.6,true,"row-360"
361,3.61,false,"row-361"
362,3.62,true,"row-362"
363,3.63,false,"row-363"
364,3.64,true,"row-364"
365,3.65,false,"row-365"
366,3.66,true,"row-366"
367,3.67,false,"row-367"
368,3.68,true,"row-368"
369,3.69,false,"row-369"
370,3.7,true,"row-370"
371,3.71,false,"row-371"
372,3.72,true,"row-372"
373,3.73,false,"row-373"
374,3.74,true,"row-374"
375,3.75,false,"row-375"
376,3.76,true,"row-376"
377,3.77,false,"row-377"
378,3.78,true,"row-378"
379,3.79,false,"row-379"
380,3.8,true,"row-380"
381,3.81,false,"row-381"
382,3.82,true,"row-382"
383,3.83,false,"row-383"
384,3.84,true,"row-384"
385,3.85,false,"row-385"
386,3.86,true,"row-386"
387,3.87,false,"row-387"
388,3.88,true,"row-388"
389,3.89,false,"row-389"
390,3.9,true,"row-390"
391,3.91,false,"row-391"
392,3.92,true,"row-392"
393,3.93,false,"row-393"
394,3.94,true,"row-394"
395,3.95,false,"row-395"
396,3.96,true,"row-396"
397,3.97,false,"row-397"
398,3.98,true,"row-398"
399,3.99,false,"row-399"
400,4,true,"row-400"
401,4.01,false,"row-401"
402,4.02,true,"row-402"
403,4.03,false,"row-403"
404,4.04,true,"row-404"
405,4.05,false,"row-405"
406,4.06,true,"row-406"
407,4.07,false,"row-407"
408,4.08,true,"row-408"
409,4.09,false,"row-409"
410,4.1,true,"row-410"
411,4.11,false,"row-411"
412,4.12,true,"row-412"
413,4.13,false,"row-413"
414,4.14,true,"row-414"
415,4.15,false,"row-415"
416,4.16,true,"row-416"
417,4.17,false,"row-417"
418,4.18,true,"row-418"
419,4.19,false,"row-419"
420,4.2,true,"row-420"
421,4.21,false,"row-421"
422,4.22,true,"row-422"
423,4.23,false,"row-423"
424,4.24,true,"row-424"
425,4.25,false,"row-425"
426,4.26,true,"row-426"
427,4.27,false,"row-427"
428,4.28,true,"row-428"
429,4.29,false,"row-429"
430,4.3,true,"row-430"
431,4.31,false,"row-431"
432,4.32,true,"row-432"
433,4.33,false,"row-433"
434,4.34,true,"row-434"
435,4.35,false,"row-435"
436,4.36,true,"row-436"
437,4.37,false,"row-437"
438,4.38,true,"row-438"
439,4.39,false,"row-439"
440,4.4,true,"row-440"
441,4.41,false,"row-441"
442,4.42,true,"row-442"
443,4.43,false,"row-443"
444,4.44,true,"row-444"
445,4.45,false,"row-445"
446,4.46,true,"row-446"
447,4.47,false,"row-447"
448,4.48,true,"row-448"
449,4.49,false,"row-449"
450,4.5,true,"row-450"
451,4.51,false,"row-451"
452,4.52,true,"row-452"
453,4.53,false,"row-453"
454,4.54,true,"row-454"
455,4.55,false,"row-455"
456,4.56,true,"row-456"
457,4.57,false,"row-457"
458,4.58,true,"row-458"
459,4.59,false,"row-459"
460,4.6,true,"row-460"
461,4.61,false,"row-461"
462,4.62,true,"row-462"
463,4.63,false,"row-463"
464,4.64,true,"row-464"
465,4.65,false,"row-465"
466,4.66,true,"row-466"
467,4.67,false,"row-467"
468,4.68,true,"row-468"
469,4.69,false,"row-469"
470,4.7,true,"row-470"
471,4.71,false,"row-471"
472,4.72,true,"row-472"
473,4.73,false,"row-473"
474,4.74,true,"row-474"
475,4.75,false,"row-475"
476,4.76,true,"row-476"
477,4.77,false,"row-477"
478,4.78,true,"row-478"
479,4.79,false,"row-479"
480,4.8,true,"row-480"
481,4.81,false,"row-481"
482,4.82,true,"row-482"
483,4.83,false,"row-483"
484,4.84,true,"row-484"
485,4.85,false,"row-485"
486,4.86,true,"row-486"
487,4.87,false,"row-487"
488,4.88,true,"row-488"
489,4.89,false,"row-489"
490,4.9,true,"row-490"
491,4.91,false,"row-491"
492,4.92,true,"row-492"
493,4.93,false,"row-493"
494,4.94,true,"row-494"
495,4.95,false,"row-495"
496,4.96,true,"row-496"
497,4.97,false,"row-497"
498,4.98,true,"row-498"
499,4.99,false,"row-499"
500,5,true,"row-500"
501,5.01,false,"row-501"
502,5.02,true,"row-502"
503,5.03,false,"row-503"
504,5.04,true,"row-504"
505,5.05,false,"row-505"
506,5.06,true,"row-506"
507,5.07,false,"row-507"
508,5.08,true,"row-508"
509,5.09,false,"row-509"
510,5.1,true,"row-510"
511,5.11,false,"row-511"
512,5.12,true,"row-512"
513,5.13,false,"row-513"
514,5.14,true,"row-514"
515,5.15,false,"row-515"
516,5.16,true,"row-516"
517,5.17,false,"row-517"
518,5.18,true,"row-518"
519,5.19,false,"row-519"
520,5.2,true,"row-520"
521,5.21,false,"row-521"
522,5.22,true,"row-522"
523,5.23,false,"row-523"
524,5.24,true,"row-524"
525,5.25,false,"row-525"
526,5.26,true,"row-526"
527,5.27,false,"row-527"
528,5.28,true,"row-528"
529,5.29,false,"row-529"
530,5.3,true,"row-530"
531,5.31,false,"row-531"
532,5.32,true,"row-532"
533,5.33,false,"row-533"
534,5.34,true,"row-534"
535,5.35,false,"row-535"
536,5.36,true,"row-536"
537,5.37,false,"row-537"
538,5.38,true,"row-538"
539,5.39,false,"row-539"
540,5.4,true,"row-540"
541,5.41,false,"row-541"
542,5.42,true,"row-542"
543,5.43,false,"row-543"
544,5.44,true,"row-544"
545,5.45,false,"row-545"
546,5.46,true,"row-546"
547,5.47,false,"row-547"
548,5.48,true,"row-548"
549,5.49,false,"row-549"
550,5.5,true,"row-550"
551,5.51,false,"row-551"
552,5.52,true,"row-552"
553,5.53,false,"row-553"
554,5.54,true,"row-554"
555,5.55,false,"row-555"
556,5.56,true,"row-556"
557,5.57,false,"row-557"
558,5.58,true,"row-558"
559,5.59,false,"row-559"
560,5.6,true,"row-560"
561,5.61,false,"row-561"
562,5.62,true,"row-562"
563,5.63,false,"row-563"
564,5.64,true,"row-564"
565,5.65,false,"row-565"
566,5.66,true,"row-566"
567,5.67,false,"row-567"
568,5.68,true,"row-568"
569,5.69,false,"row-569"
570,5.7,true,"row-570"
571,5.71,false,"row-571"
572,5.72,true,"row-572"
573,5.73,false,"row-573"
574,5.74,true,"row-574"
575,5.75,false,"row-575"
576,5.76,true,"row-576"
577,5.77,false,"row-577"
578,5.78,true,"row-578"
579,5.79,false,"row-579"
580,5.8,true,"row-580"
581,5.81,false,"row-581"
582,5.82,true,"row-582"
583,5.83,false,"row-583"
584,5.84,true,"row-584"
585,5.85,false,"row-585"
586,5.86,true,"row-586"
587,5.87,false,"row-587"
588,5.88,true,"row-588"
589,5.89,false,"row-589"
590,5.9,true,"row-590"
591,5.91,false,"row-591"
592,5.92,true,"row-592"
593,5.93,false,"row-593"
594,5.94,true,"row-594"
595,5.95,false,"row-595"
596,5.96,true,"row-596"
597,5.97,false,"row-597"
598,5.98,true,"row-598"
599,5.99,false,"row-599"
600,6,true,"row-600"
601,6.01,false,"row-601"
602,6.02,true,"row-602"
603,6.03,false,"row-603"
604,6.04,true,"row-604"
605,6.05,false,"row-605"
606,6.06,true,"row-606"
607,6.07,false,"row-607"
608,6.08,true,"row-608"
609,6.09,false,"row-609"
610,6.1,true,"row-610"
611,6.11,false,"row-611"
612,6.12,true,"row-612"
613,6.13,false,"row-613"
614,6.14,true,"row-614"
615,6.15,false,"row-615"
616,6.16,true,"row-616"
617,6.17,false,"row-617"
618,6.18,true,"row-618"
619,6.19,false,"row-619"
620,6.2,true,"row-620"
621,6.21,false,"row-621"
622,6.22,true,"row-622"
623,6.23,false,"row-623"
624,6.24,true,"row-624"
625,6.25,false,"row-625"
626,6.26,true,"row-626"
627,6.27,false,"row-627"
628,6.28,true,"row-628"
629,6.29,false,"row-629"
630,6.3,true,"row-630"
631,6.31,false,"row-631"
632,6.32,true,"row-632"
633,6.33,false,"row-633"
634,6.34,true,"row-634"
635,6.35,false,"row-635"
636,6.36,true,"row-636"
637,6.37,false,"row-637"
638,6.38,true,"row-638"
639,6.39,false,"row-639"
640,6.4,true,"row-640"
641,6.41,false,"row-641"
642,6.42,true,"row-642"
643,6.43,false,"row-643"
644,6.44,true,"row-644"
645,6.45,false,"row-645"
646,6.46,true,"row-646"
647,6.47,false,"row-647"
648,6.48,true,"row-648"
649,6.49,false,"row-649"
650,6.5,true,"row-650"
651,6.51,false,"row-651"
652,6.52,true,"row-652"
653,6.53,false,"row-653"
654,6.54,true,"row-654"
655,6.55,false,"row-655"
656,6.56,true,"row-656"
657,6.57,false,"row-657"
658,6.58,true,"row-658"
659,6.59,false,"row-659"
660,6.6,true,"row-660"
661,6.61,false,"row-661"
662,6.62,true,"row-662"
663,6.63,false,"row-663"
664,6.64,true,"row-664"
665,6.65,false,"row-665"
666,6.66,true,"row-666"
667,6.67,false,"row-667"
668,6.68,true,"row-668"
669,6.69,false,"row-669"
670,6.7,true,"row-670"
671,6.71,false,"row-671"
672,6.72,true,"row-672"
673,6.73,false,"row-673"
674,6.74,true,"row-674"
675,6.75,false,"row-675"
676,6.76,true,"row-676"
677,6.77,false,"row-677"
678,6.78,true,"row-678"
679,6.79,false,"row-679"
680,6.8,true,"row-680"
681,6.81,false,"row-681"
682,6.82,true,"row-682"
683,6.83,false,"row-683"
684,6.84,true,"row-684"
685,6.85,false,"row-685"
686,6.86,true,"row-686"
687,6.87,false,"row-687"
688,6.88,true,"row-688"
689,6.89,false,"row-689"
690,6.9,true,"row-690"
691,6.91,false,"row-691"
692,6.92,true,"row-692"
693,6.93,false,"row-693"
694,6.94,true,"row-694"
695,6.95,false,"row-695"
696,6.96,true,"row-696"
697,6.97,false,"row-697"
698,6.98,true,"row-698"
699,6.99,false,"row-699"
700,7,true,"row-700"
701,7.01,false,"row-701"
702,7.02,true,"row-702"
703,7.03,false,"row-703"
704,7.04,true,"row-704"
705,7.05,false,"row-705"
706,7.06,true,"row-706"
707,7.07,false,"row-707"
708,7.08,true,"row-708"
709,7.09,false,"row-709"
710,7.1,true,"row-710"
711,7.11,false,"row-711"
712,7.12,true,"row-712"
713,7.13,false,"row-713"
714,7.14,true,"row-714"
715,7.15,false,"row-715"
716,7.16,true,"row-716"
717,7.17,false,"row-717"
718,7.18,true,"row-718"
719,7.19,false,"row-719"
720,7.2,true,"row-720"
721,7.21,false,"row-721"
722,7.22,true,"row-722"
723,7.23,false,"row-723"
724,7.24,true,"row-724"
725,7.25,false,"row-725"
726,7.26,true,"row-726"
727,7.27,false,"row-727"
728,7.28,true,"row-728"
729,7.29,false,"row-729"
730,7.3,true,"row-730"
731,7.31,false,"row-731"
732,7.32,true,"row-732"
733,7.33,false,"row-733"
734,7.34,true,"row-734"
735,7.35,false,"row-735"
736,7.36,true,"row-736"
737,7.37,false,"row-737"
738,7.38,true,"row-738"
739,7.39,false,"row-739"
740,7.4,true,"row-740"
741,7.41,false,"row-741"
742,7.42,true,"row-742"
743,7.43,false,"row-743"
744,7.44,true,"row-744"
745,7.45,false,"row-745"
746,7.46,true,"row-746"
747,7.47,false,"row-747"
748,7.48,true,"row-748"
749,7.49,false,"row-749"
750,7.5,true,"row-750"
751,7.51,false,"row-751"
752,7.52,true,"row-752"
753,7.53,false,"row-753"
754,7.54,true,"row-754"
755,7.55,false,"row-755"
756,7.56,true,"row-756"
757,7.57,false,"row-757"
758,7.58,true,"row-758"
759,7.59,false,"row-759"
760,7.6,true,"row-760"
761,7.61,false,"row-761"
762,7.62,true,"row-762"
763,7.63,false,"row-763"
764,7.64,true,"row-764"
765,7.65,false,"row-765"
766,7.66,true,"row-766"
767,7.67,false,"row-767"
768,7.68,true,"row-768"
769,7.69,false,"row-769"
770,7.7,true,"row-770"
771,7.71,false,"row-771"
772,7.72,true,"row-772"
773,7.73,false,"row-773"
774,7.74,true,"row-774"
775,7.75,false,"row-775"
776,7.76,true,"row-776"
777,7.77,false,"row-777"
778,7.78,true,"row-778"
779,7.79,false,"row-779"
780,7.8,true,"row-780"
781,7.81,false,"row-781"
782,7.82,true,"row-782"
783,7.83,false,"row-783"
784,7.84,true,"row-784"
785,7.85,false,"row-785"
786,7.86,true,"row-786"
787,7.87,false,"row-787"
788,7.88,true,"row-788"
789,7.89,false,"row-789"
790,7.9,true,"row-790"
791,7.91,false,"row-791"
792,7.92,true,"row-792"
793,7.93,false,"row-793"
794,7.94,true,"row-794"
795,7.95,false,"row-795"
796,7.96,true,"row-796"
797,7.97,false,"row-797"
798,7.98,true,"row-798"
799,7.99,false,"row-799"
800,8,true,"row-800"
801,8.01,false,"row-801"
802,8.02,true,"row-802"
803,8.03,false,"row-803"
804,8.04,true,"row-804"
805,8.05,false,"row-805"
806,8.06,true,"row-806"
807,8.07,false,"row-807"
808,8.08,true,"row-808"
809,8.09,false,"row-809"
810,8.1,true,"row-810"
811,8.11,false,"row-811"
812,8.12,true,"row-812"
813,8.13,false,"row-813"
814,8.14,true,"row-814"
815,8.15,false,"row-815"
816,8.16,true,"row-816"
817,8.17,false,"row-817"
818,8.18,true,"row-818"
819,8.19,false,"row-819"
820,8.2,true,"row-820"
821,8.21,false,"row-821"
822,8.22,true,"row-822"
823,8.23,false,"row-823"
824,8.24,true,"row-824"
825,8.25,false,"row-825"
826,8.26,true,"row-826"
827,8.27,false,"row-827"
828,8.28,true,"row-828"
829,8.29,false,"row-829"
830,8.3,true,"row-830"
831,8.31,false,"row-831"
832,8.32,true,"row-832"
833,8.33,false,"row-833"
834,8.34,true,"row-834"
835,8.35,false,"row-835"
836,8.36,true,"row-836"
837,8.37,false,"row-837"
838,8.38,true,"row-838"
839,8.39,false,"row-839"
840,8.4,true,"row-840"
841,8.41,false,"row-841"
842,8.42,true,"row-842"
843,8.43,false,"row-843"
844,8.44,true,"row-844"
845,8.45,false,"row-845"
846,8.46,true,"row-846"
847,8.47,false,"row-847"
848,8.48,true,"row-848"
849,8.49,false,"row-849"
850,8.5,true,"row-850"
851,8.51,false,"row-851"
852,8.52,true,"row-852"
853,8.53,false,"row-853"
854,8.54,true,"row-854"
855,8.55,false,"row-855"
856,8.56,true,"row-856"
857,8.57,false,"row-857"
858,8.58,true,"row-858"
859,8.59,false,"row-859"
860,8.6,true,"row-860"
861,8.61,false,"row-861"
862,8.62,true,"row-862"
863,8.63,false,"row-863"
864,8.64,true,"row-864"
865,8.65,false,"row-865"
866,8.66,true,"row-866"
867,8.67,false,"row-867"
868,8.68,true,"row-868"
869,8.69,false,"row-869"
870,8.7,true,"row-870"
871,8.71,false,"row-871"
872,8.72,true,"row-872"
873,8.73,false,"row-873"
874,8.74,true,"row-874"
875,8.75,false,"row-875"
876,8.76,true,"row-876"
877,8.77,false,"row-877"
878,8.78,true,"row-878"
879,8.79,false,"row-879"
880,8.8,true,"row-880"
881,8.81,false,"row-881"
882,8.82,true,"row-882"
883,8.83,false,"row-883"
884,8.84,true,"row-884"
885,8.85,false,"row-885"
886,8.86,true,"row-886"
887,8.87,false,"row-887"
888,8.88,true,"row-888"
889,8.89,false,"row-889"
890,8.9,true,"row-890"
891,8.91,false,"row-891"
892,8.92,true,"row-892"
893,8.93,false,"row-893"
894,8.94,true,"row-894"
895,8.95,false,"row-895"
896,8.96,true,"row-896"
897,8.97,false,"row-897"
898,8.98,true,"row-898"
899,8.99,false,"row-899"
900,9,true,"row-900"
901,9.01,false,"row-901"
902,9.02,true,"row-902"
903,9.03,false,"row-903"
904,9.04,true,"row-904"
905,9.05,false,"row-905"
906,9.06,true,"row-906"
907,9.07,false,"row-907"
908,9.08,true,"row-908"
909,9.09,false,"row-909"
910,9.1,true,"row-910"
911,9.11,false,"row-911"
912,9.12,true,"row-912"
913,9.13,false,"row-913"
914,9.14,true,"row-914"
915,9.15,false,"row-915"
916,9.16,true,"row-916"
917,9.17,false,"row-917"
918,9.18,true,"row-918"
919,9.19,false,"row-919"
920,9.2,true,"row-920"
921,9.21,false,"row-921"
922,9.22,true,"row-922"
923,9.23,false,"row-923"
924,9.24,true,"row-924"
925,9.25,false,"row-925"
926,9.26,true,"row-926"
927,9.27,false,"row-927"
928,9.28,true,"row-928"
929,9.29,false,"row-929"
930,9.3,true,"row-930"
931,9.31,false,"row-931"
932,9.32,true,"row-932"
933,9.33,false,"row-933"
934,9.34,true,"row-934"
935,9.35,false,"row-935"
936,9.36,true,"row-936"
937,9.37,false,"row-937"
938,9.38,true,"row-938"
939,9.39,false,"row-939"
940,9.4,true,"row-940"
941,9.41,false,"row-941"
942,9.42,true,"row-942"
943,9.43,false,"row-943"
944,9.44,true,"row-944"
945,9.45,false,"row-945"
946,9.46,true,"row-946"
947,9.47,false,"row-947"
948,9.48,true,"row-948"
949,9.49,false,"row-949"
950,9.5,true,"row-950"
951,9.51,false,"row-951"
952,9.52,true,"row-952"
953,9.53,false,"row-953"
954,9.54,true,"row-954"
955,9.55,false,"row-955"
956,9.56,true,"row-956"
957,9.57,false,"row-957"
958,9.58,true,"row-958"
959,9.59,false,"row-959"
960,9.6,true,"row-960"
961,9.61,false,"row-961"
962,9.62,true,"row-962"
963,9.63,false,"row-963"
964,9.64,true,"row-964"
965,9.65,false,"row-965"
966,9.66,true,"row-966"
967,9.67,false,"row-967"
968,9.68,true,"row-968"
969,9.69,false,"row-969"
970,9.7,true,"row-970"
971,9.71,false,"row-971"
972,9.72,true,"row-972"
973,9.73,false,"row-973"
974,9.74,true,"row-974"
975,9.75,false,"row-975"
976,9.76,true,"row-976"
977,9.77,false,"row-977"
978,9.78,true,"row-978"
979,9.79,false,"row-979"
980,9.8,true,"row-980"
981,9.81,false,"row-981"
982,9.82,true,"row-982"
983,9.83,false,"row-983"
984,9.84,true,"row-984"
985,9.85,false,"row-985"
986,9.86,true,"row-986"
987,9.87,false,"row-987"
988,9.88,true,"row-988"
989,9.89,false,"row-989"
990,9.9,true,"row-990"
991,9.91,false,"row-991"
992,9.92,true,"row-992"
993,9.93,false,"row-993"
994,9.94,true,"row-994"
995,9.95,false,"row-995"
996,9.96,true,"row-996"
997,9.97,false,"row-997"
998,9.98,true,"row-998"
